iter	Logloss
397	0.2454477604
398	0.2454346853
399	0.2454217311
400	0.2453985019
401	0.2453879861
402	0.2453741653
403	0.2453610497
404	0.2453462779
405	0.2453232002
406	0.2453062209
407	0.2452935086
408	0.2452500996
409	0.2452388968
410	0.2452280274
411	0.2452165885
412	0.245203659
413	0.2451903296
414	0.2451755866
415	0.2451615921
416	0.245150982
417	0.2451373785
418	0.2451238641
419	0.2451109469
420	0.2450980302
421	0.2450838637
422	0.2450718889
423	0.2450552737
424	0.2450402674
425	0.2450292718
426	0.2450138775
427	0.2450035926
428	0.2449925927
429	0.244982911
430	0.2449684107
431	0.2449558001
432	0.2449447438
433	0.2449302286
434	0.2449196481
435	0.2449055512
436	0.2448727084
437	0.2448622615
438	0.2448463586
439	0.2448333492
440	0.2448231114
441	0.2448051675
442	0.24478891
443	0.2447784045
444	0.2447562465
445	0.2447440956
446	0.2447356046
447	0.2447238893
448	0.2447113012
449	0.244657841
450	0.2446420295
451	0.2446300572
452	0.2446166796
453	0.2446045719
454	0.2445921439
455	0.2445806698
456	0.244567883
457	0.2445552522
458	0.2445408271
459	0.2445286487
460	0.2445107295
461	0.2444998157
462	0.2444867242
463	0.2444751229
464	0.2444608026
465	0.2444513246
466	0.2444384504
467	0.2444275319
468	0.2444185724
469	0.2444081831
470	0.2443940337
471	0.2443798364
472	0.244364735
473	0.2443505381
474	0.2443413983
475	0.2443307776
476	0.2443181695
477	0.2443026859
478	0.2442922364
479	0.2442791249
480	0.2442664016
481	0.2442539225
482	0.244244109
483	0.244236575
484	0.2442149645
485	0.2442054139
486	0.2441964482
487	0.2441849039
488	0.2441741252
489	0.2441671325
490	0.2441364932
491	0.2441206883
492	0.2441091423
493	0.2440940077
494	0.244058541
495	0.2440499455
496	0.2440347472
497	0.2440212905
498	0.2440123013
499	0.2440002138
500	0.2439905141
501	0.2439803984
502	0.2439676361
503	0.243955413
504	0.2439372872
505	0.2439197743
506	0.2439082054
507	0.2438992424
508	0.2438868322
509	0.2438766522
510	0.2438641333
511	0.2438562003
512	0.2438410775
513	0.2438220721
514	0.2438063363
515	0.2437923575
516	0.243781388
517	0.2437722542
518	0.2437589833
519	0.243749077
520	0.2437394451
521	0.2437292441
522	0.243718224
523	0.2437090652
524	0.2436847337
525	0.243672146
526	0.243660368
527	0.2436499758
528	0.2436341577
529	0.243622292
530	0.2436121776
531	0.2435959066
532	0.2435857913
533	0.2435552573
534	0.2435433607
535	0.2435301551
536	0.2435170535
537	0.2435044716
538	0.2434937869
539	0.2434792142
540	0.2434662302
541	0.2434562364
542	0.2434434723
543	0.2434329575
544	0.2434233367
545	0.2434136112
546	0.2434032511
547	0.2433940242
548	0.2433856194
549	0.2433718976
550	0.243356469
551	0.2433449558
552	0.2433352237
553	0.2433209108
554	0.2433099737
555	0.2432990684
556	0.2432803465
557	0.2432692471
558	0.2432578788
559	0.2432481466
560	0.2432387643
561	0.2432266708
562	0.243199415
563	0.2431865274
564	0.2431761767
565	0.2431588317
566	0.2431419465
567	0.2431207637
568	0.2431113019
569	0.2430997891
570	0.2430887581
571	0.2430814886
572	0.243073535
573	0.2430633012
574	0.243042415
575	0.243024781
576	0.243012242
577	0.2430015715
578	0.2429872928
579	0.242978612
580	0.2429666816
581	0.2429578513
582	0.2429487861
583	0.2429388871
584	0.2429281871
585	0.242917632
586	0.2429046688
587	0.2428932462
588	0.2428821812
589	0.242871683
590	0.2428619403
591	0.2428514164
592	0.2428408236
593	0.2428310665
594	0.2428179427
595	0.242807912
596	0.2427973069
597	0.2427891041
598	0.2427819742
599	0.242770526
