iter	Passed	Remaining
399	55333	27666
400	55448	27517
401	55561	27366
402	55692	27224
403	55819	27080
404	55954	26940
405	56111	26812
406	56239	26668
407	56345	26515
408	56460	26366
409	56659	26256
410	56780	26110
411	56892	25960
412	57015	25815
413	57120	25662
414	57234	25514
415	57354	25368
416	57481	25225
417	57590	25075
418	57700	24925
419	57812	24776
420	57921	24626
421	58044	24483
422	58183	24346
423	58324	24210
424	58467	24074
425	58595	23933
426	58736	23797
427	58874	23659
428	58992	23514
429	59101	23365
430	59209	23216
431	59328	23072
432	59436	22923
433	59541	22773
434	59643	22623
435	59766	22480
436	59885	22337
437	59992	22188
438	60105	22043
439	60228	21901
440	60336	21754
441	60459	21612
442	60600	21476
443	60722	21334
444	60843	21192
445	60960	21049
446	61058	20899
447	61159	20750
448	61261	20602
449	61372	20457
450	61465	20306
451	61579	20163
452	61707	20024
453	61818	19879
454	61930	19735
455	62073	19602
456	62221	19469
457	62335	19326
458	62470	19190
459	62578	19045
460	62733	18915
461	62877	18781
462	63022	18648
463	63151	18509
464	63273	18369
465	63388	18227
466	63517	18089
467	63640	17950
468	63765	17810
469	63876	17667
470	64001	17528
471	64106	17384
472	64229	17245
473	64357	17107
474	64487	16970
475	64600	16828
476	64723	16689
477	64830	16546
478	64957	16408
479	65084	16271
480	65226	16137
481	65358	16000
482	65479	15861
483	65605	15723
484	65736	15587
485	65855	15447
486	65968	15306
487	66087	15167
488	66217	15030
489	66336	14891
490	66478	14757
491	66645	14629
492	66797	14497
493	66922	14359
494	67072	14227
495	67196	14089
496	67353	13958
497	67499	13825
498	67619	13686
499	67732	13546
500	67850	13407
501	67951	13265
502	68065	13125
503	68178	12986
504	68290	12846
505	68396	12706
506	68496	12564
507	68612	12425
508	68713	12284
509	68821	12145
510	68951	12009
511	69055	11868
512	69169	11730
513	69283	11592
514	69402	11454
515	69510	11315
516	69623	11177
517	69752	11041
518	69876	10905
519	69980	10766
520	70085	10627
521	70190	10488
522	70296	10349
523	70409	10212
524	70530	10075
525	70642	9938
526	70756	9801
527	70866	9663
528	70964	9524
529	71089	9389
530	71223	9255
531	71361	9121
532	71499	8987
533	71623	8852
534	71741	8716
535	71846	8578
536	71959	8442
537	72094	8308
538	72213	8172
539	72318	8035
540	72414	7897
541	72515	7759
542	72624	7623
543	72727	7486
544	72819	7348
545	72920	7211
546	73020	7075
547	73122	6938
548	73214	6801
549	73318	6665
550	73421	6529
551	73533	6394
552	73641	6258
553	73752	6123
554	73844	5987
555	73953	5852
556	74062	5717
557	74159	5581
558	74263	5446
559	74389	5313
560	74504	5179
561	74613	5045
562	74719	4910
563	74823	4775
564	74922	4641
565	75032	4507
566	75131	4372
567	75234	4238
568	75324	4103
569	75419	3969
570	75535	3836
571	75654	3703
572	75770	3570
573	75908	3438
574	76029	3305
575	76135	3172
576	76234	3038
577	76334	2905
578	76432	2772
579	76524	2638
580	76656	2506
581	76786	2374
582	76896	2242
583	76987	2109
584	77089	1976
585	77199	1844
586	77302	1711
587	77407	1579
588	77502	1447
589	77594	1315
590	77690	1183
591	77786	1051
592	77883	919
593	77981	787
594	78092	656
595	78203	524
596	78310	393
597	78415	262
598	78503	131
599	78597	0
